id,name,price,in_stock,link
1134825,Tortoiseshell Premium Aviator Sunglasses,35.95,true,/p/aviator-eyeglass-frames/11348?skuId=1134825
129223,Translucent Rectangle Glasses,9.95,true,/p/tr-rectangle-eyeglass-frames/1292?skuId=129223
329215,Light Brown Rectangle Glasses,25.95,true,/p/mens-stainless-steel-rectangle-eyeglass-frames/3292?skuId=329215
1118921,Black Premium Aviator Sunglasses,29.95,true,/p/tr-aviator-eyeglass-frames/11189?skuId=1118921
362011,Silver Rimless Glasses,23.95,true,/p/rimless-hingeless-stainless-steel/3620?skuId=362011
638821,Black Square Glasses,29.95,true,/p/acetate-full-rim-frame/6388?skuId=638821
138012,Gray Titanium Rimless Glasses,45.95,true,/p/mens-rimless-titanium-eyeglass-frames/1380?skuId=138012
3226614,Gold Round Glasses,35.95,true,/p/stainless-steel-round-eyeglass-frames/32266?skuId=3226614
523721,Black Titanium Oval Glasses,45.95,true,/p/pure-titanium-full-rim-frame/5237?skuId=523721
1115821,Black Figueroa Square Sunglasses,35.95,true,/p/figueroa-sunglasses/11158?skuId=1115821
158125,Tortoiseshell Laze,29.95,true,/p/laze-eyeglasses/1581?skuId=158125
503623,Translucent Rectangle Magnetic Snap-On Set,39.95,true,/p/mens-acetate-rectangle-eyeglass-frames/5036?skuId=503623
2040123,Translucent Square Glasses,19.95,true,/p/tr-square-eyeglass-frames/20401?skuId=2040123
749315,Copper Z87.1 Safety Glasses,35.95,true,/p/stainless-steel-oval-eyeglass-frames/7493?skuId=749315
217212,Gray Aviator Glasses,23.95,true,/p/titanium-full-rim-frame/2172?skuId=217212
238625,Tortoiseshell Rectangle Glasses,19.95,true,/p/tr-rectangle-eyeglass-frames/2386?skuId=238625
2027430,White Rectangle Glasses,15.95,true,/p/tr-rectangle-eyeglass-frames/20274?skuId=2027430
1133716,Blue Premium Square Sunglasses,32.95,true,/p/square-sunglass-frames/11337?skuId=1133716
1145221,Black Premium Aviator Sunglasses,45.95,true,/p/mens-memory-titanium-aviator-sunglass-frames/11452?skuId=1145221
139215,Copper Rectangle Glasses,45.95,true,/p/mens-titanium-rectangle-eyeglass-frames/1392?skuId=139215
102222,Orange Square Glasses,19.95,true,/p/acetate-plastic-square-eyeglass-frames/1022?skuId=102222
748512,Gray Z87.1 Safety Glasses,29.95,true,/p/other-plastic-rectangle-eyeglass-frames/7485?skuId=748512
4413625,Tortoiseshell Rectangle Glasses,19.95,true,/p/mens-acetate-rectangle-eyeglass-frames/44136?skuId=4413625
137521,Black Titanium Rectangle Glasses,45.95,true,/p/titanium-rectangle-eyeglass-frames/1375?skuId=137521
2035323,Clear Rectangle Glasses,25.95,true,/p/tr-rectangle-eyeglass-frames/20353?skuId=2035323
1913921,Black Square Glasses,29.95,true,/p/mens-square-eyeglass-frames/19139?skuId=1913921
211312,Gray Aviator Glasses,23.95,true,/p/bendable-memory-titanium-full-rim-frame/2113?skuId=211312
125215,Maple Square Glasses,9.95,true,/p/acetate-plastic-square-eyeglass-frames/1252?skuId=125215
3211715,Brown Browline Glasses,29.95,true,/p/stainless-steel-browline-eyeglass-frames/32117?skuId=3211715
185321,Black Square Glasses,29.95,true,/p/unisex-full-rim-acetate-plastic-square-eyeglass-frames/1853?skuId=185321
2018623,Clear Round Glasses,9.95,true,/p/plastic-round-eyeglass-frames/20186?skuId=2018623
419119,Pink Aviator Glasses,6.95,true,/p/stainless-steel-aviator-eyeglass-frames/4191?skuId=419119
99102914,"Antique Gold Hall of Famer 
",42.95,true,/p/hall-of-famer-aviator-eyeglasses/991029?skuId=99102914
378015,Brown Titanium Rimless Glasses,45.95,true,/p/rimless-titanium-frame/3780?skuId=378015
195316,Blue Rectangle Glasses,25.95,true,/p/mens-halfrim-rectangle-eyeglass-frames/1953?skuId=195316
8111119,Pink/Green Glow Glow-in-the-Dark Round Glasses,19.95,true,/p/womens-tr-round-eyeglass-frames/81111?skuId=8111119
159330,White Aviator Glasses,29.95,false,/p/other-metal-aviator-eyeglass-frames/1593?skuId=159330
1911824,Pattern Browline Glasses,19.95,true,/p/browline-eyeglass-frames/19118?skuId=1911824
4419825,Pattern Fuller Square Eyeglasses,35.95,true,/p/fuller-eyeglass-frames/44198?skuId=4419825
7829725,Tortoiseshell Square Glasses,32.95,true,/p/square-eyeglass-frames/78297?skuId=7829725
6499921,Black Round Clip-On Set,23.95,true,/p/plastic-round-eyeglass-frames/64999?skuId=6499921
2023239,Pattern Square Glasses,12.95,true,/p/tr-square-eyeglass-frames/20232?skuId=2023239
7815919,Pink Browline Glasses,25.95,true,/p/browline-eyeglass-frames/78159?skuId=7815919
270516,Blue Square Glasses,15.95,true,/p/plastic-full-rim-frame/2705?skuId=270516
4411935,Pattern Round Glasses,29.95,true,/p/acetate-round-eyeglass-frames/44119?skuId=4411935
3224915,Gold Round Glasses,29.95,true,/p/stainless-steel-round-eyeglass-frames/32249?skuId=3224915
608521,Black Rectangle Glasses,19.95,true,/p/acetate-full-rim-frame/6085?skuId=608521
99103021,"Black Merengue 
 ",39.95,true,/p/merengue-square-eyeglasses/991030?skuId=99103021
,,,,
4451025,Tortoiseshell  Aviator Glasses,39.95,true,/p/mens-acetate-aviator-eyeglass-frames/44510?skuId=4451025
195418,Red Browline Glasses,15.95,true,/p/browline-eyeglass-frames/1954?skuId=195418
101235,Tortoiseshell Round Glasses,25.95,true,/p/round-tortoiseshell-eyeglass-frames/1012?skuId=101235
2020116,Navy Ombre Square Glasses,15.95,true,/p/tr-square-eyeglass-frames/20201?skuId=2020116
171412,Steel Aviator Glasses,39.95,true,/p/mens-halfrim-memory-titanium-aviator-eyeglass-frames/1714?skuId=171412
393014,Gold Rimless Glasses,25.95,true,/p/rimless-metal-alloy-frame-with-designer-acetate-temples/3930?skuId=393014
2018918,Red Rectangle Glasses,6.95,true,/p/tr-rectangle-eyeglass-frames/20189?skuId=2018918
7816823,Clear Square Glasses,19.95,true,/p/square-eyeglass-frames/78168?skuId=7816823
